Data,Plan Name,Mean Return
0.062483835,Research Affiliates,0.051574892
0.047548311,Research Affiliates,0.051574892
0.060650643,Research Affiliates,0.051574892
0.029169386,Research Affiliates,0.051574892
0.08181421,Research Affiliates,0.051574892
0.070727045,Research Affiliates,0.051574892
0.057365707,Research Affiliates,0.051574892
0.040823164,Research Affiliates,0.051574892
0.067520535,Research Affiliates,0.051574892
0.03429719,Research Affiliates,0.051574892
0.043925621,Research Affiliates,0.051574892
0.047287071,Research Affiliates,0.051574892
0.062714624,Research Affiliates,0.051574892
0.044225347,Research Affiliates,0.051574892
0.054148955,Research Affiliates,0.051574892
0.036722388,Research Affiliates,0.051574892
0.02561366,Research Affiliates,0.051574892
0.043291291,Research Affiliates,0.051574892
0.028406434,Research Affiliates,0.051574892
0.02154157,Research Affiliates,0.051574892
0.027904939,Research Affiliates,0.051574892
0.043872741,Research Affiliates,0.051574892
0.009569078,Research Affiliates,0.051574892
0.063674081,Research Affiliates,0.051574892
0.014413709,Research Affiliates,0.051574892
0.082990589,Research Affiliates,0.051574892
0.093858833,Research Affiliates,0.051574892
0.059627526,Research Affiliates,0.051574892
0.036761297,Research Affiliates,0.051574892
0.05625349,Research Affiliates,0.051574892
0.066137102,Research Affiliates,0.051574892
0.063413457,Research Affiliates,0.051574892
0.072525711,Research Affiliates,0.051574892
0.042735369,Research Affiliates,0.051574892
0.048627887,Research Affiliates,0.051574892
0.047876199,Research Affiliates,0.051574892
0.034807337,Research Affiliates,0.051574892
0.05912636,Research Affiliates,0.051574892
0.019816099,Research Affiliates,0.051574892
0.049482351,Research Affiliates,0.051574892
0.063507756,Research Affiliates,0.051574892
0.038770708,Research Affiliates,0.051574892
0.088080305,Research Affiliates,0.051574892
0.022142854,Research Affiliates,0.051574892
0.040630347,Research Affiliates,0.051574892
0.066544491,Research Affiliates,0.051574892
0.04330545,Research Affiliates,0.051574892
0.059537777,Research Affiliates,0.051574892
0.066269535,Research Affiliates,0.051574892
0.029787906,Research Affiliates,0.051574892
0.081585038,Research Affiliates,0.051574892
0.053133664,Research Affiliates,0.051574892
0.047380399,Research Affiliates,0.051574892
0.054929547,Research Affiliates,0.051574892
0.062251383,Research Affiliates,0.051574892
0.070452158,Research Affiliates,0.051574892
0.049853654,Research Affiliates,0.051574892
0.036817051,Research Affiliates,0.051574892
0.074158351,Research Affiliates,0.051574892
0.043406171,Research Affiliates,0.051574892
0.037413538,Research Affiliates,0.051574892
0.060415008,Research Affiliates,0.051574892
0.038419093,Research Affiliates,0.051574892
0.00329884,Research Affiliates,0.051574892
0.030824445,Research Affiliates,0.051574892
0.051504802,Research Affiliates,0.051574892
0.043299172,Research Affiliates,0.051574892
0.052298382,Research Affiliates,0.051574892
0.039040864,Research Affiliates,0.051574892
0.087392541,Research Affiliates,0.051574892
0.049119834,Research Affiliates,0.051574892
0.031081046,Research Affiliates,0.051574892
0.065365616,Research Affiliates,0.051574892
0.058991223,Research Affiliates,0.051574892
0.047162648,Research Affiliates,0.051574892
0.027417827,Research Affiliates,0.051574892
0.048498118,Research Affiliates,0.051574892
0.055493514,Research Affiliates,0.051574892
0.070568632,Research Affiliates,0.051574892
0.046507083,Research Affiliates,0.051574892
0.047132126,Research Affiliates,0.051574892
0.031330529,Research Affiliates,0.051574892
0.062639003,Research Affiliates,0.051574892
0.039694838,Research Affiliates,0.051574892
0.042762889,Research Affiliates,0.051574892
0.051317753,Research Affiliates,0.051574892
0.075943295,Research Affiliates,0.051574892
0.049858965,Research Affiliates,0.051574892
0.073146946,Research Affiliates,0.051574892
0.057457858,Research Affiliates,0.051574892
0.045070874,Research Affiliates,0.051574892
0.04021005,Research Affiliates,0.051574892
0.058706407,Research Affiliates,0.051574892
0.063834101,Research Affiliates,0.051574892
0.032336313,Research Affiliates,0.051574892
0.072611026,Research Affiliates,0.051574892
0.043406056,Research Affiliates,0.051574892
0.029341195,Research Affiliates,0.051574892
0.058817623,Research Affiliates,0.051574892
0.040345405,Research Affiliates,0.051574892
0.045156592,Research Affiliates,0.051574892
0.093142897,Research Affiliates,0.051574892
0.047745611,Research Affiliates,0.051574892
0.049847944,Research Affiliates,0.051574892
0.040947452,Research Affiliates,0.051574892
0.054719648,Research Affiliates,0.051574892
0.025700929,Research Affiliates,0.051574892
0.06503879,Research Affiliates,0.051574892
0.050784749,Research Affiliates,0.051574892
0.037078862,Research Affiliates,0.051574892
0.042262913,Research Affiliates,0.051574892
0.054589923,Research Affiliates,0.051574892
0.074963931,Research Affiliates,0.051574892
0.019104152,Research Affiliates,0.051574892
0.018016802,Research Affiliates,0.051574892
0.015139812,Research Affiliates,0.051574892
0.056596357,Research Affiliates,0.051574892
0.043133114,Research Affiliates,0.051574892
0.009717977,Research Affiliates,0.051574892
0.109443713,Research Affiliates,0.051574892
0.035432714,Research Affiliates,0.051574892
0.051115574,Research Affiliates,0.051574892
0.03570975,Research Affiliates,0.051574892
0.03511317,Research Affiliates,0.051574892
0.020555243,Research Affiliates,0.051574892
0.049376104,Research Affiliates,0.051574892
0.040289205,Research Affiliates,0.051574892
0.041504143,Research Affiliates,0.051574892
0.050851011,Research Affiliates,0.051574892
0.036851909,Research Affiliates,0.051574892
0.051554194,Research Affiliates,0.051574892
0.053016025,Research Affiliates,0.051574892
0.053102035,Research Affiliates,0.051574892
0.058497387,Research Affiliates,0.051574892
0.035497907,Research Affiliates,0.051574892
0.022323384,Research Affiliates,0.051574892
0.057083864,Research Affiliates,0.051574892
0.037712291,Research Affiliates,0.051574892
0.028222936,Research Affiliates,0.051574892
0.048251566,Research Affiliates,0.051574892
0.061734622,Research Affiliates,0.051574892
0.068850956,Research Affiliates,0.051574892
0.069126984,Research Affiliates,0.051574892
0.064232709,Research Affiliates,0.051574892
0.05888605,Research Affiliates,0.051574892
0.06309167,Research Affiliates,0.051574892
0.05542349,Research Affiliates,0.051574892
0.063036616,Research Affiliates,0.051574892
0.009534434,Research Affiliates,0.051574892
0.036769192,Research Affiliates,0.051574892
